,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
541,human individual,human individual,29,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",541,5,4,False
1813,numeric code,numeric code,37,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",1813,5,4,False
3030,entity animal,entity animal,2,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",3030,5,4,False
2946,numeric date,numeric date,39,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",2946,5,4,False
4720,description description,description description,25,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",4720,5,4,False
5448,entity other,human individual,29,True,False,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",5448,5,4,False
4066,entity other,location other,35,False,False,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",4066,5,4,False
1487,human individual,human individual,29,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",1487,5,4,False
640,human individual,human individual,29,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",640,5,4,False
2071,entity other,location country,33,False,False,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",2071,5,4,False
1268,entity substance,entity term,21,False,False,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",1268,5,4,False
1334,human individual,human individual,29,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",1334,5,4,False
2651,entity disease,entity disease,7,False,True,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",2651,5,4,False
4196,human individual,human individual,29,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",4196,5,4,False
922,human individual,human individual,29,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",922,5,4,False
3421,numeric count,numeric count,38,False,True,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",3421,5,4,False
3810,description description,description definition,24,False,False,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",3810,5,4,False
2886,numeric period,numeric period,44,False,True,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",2886,5,4,False
2899,entity disease,description reason,27,False,False,False,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",2899,5,4,False
1092,numeric date,numeric date,39,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",1092,5,4,False
4114,numeric date,numeric date,39,True,True,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",4114,5,4,False
5091,human individual,location other,35,False,False,True,"{29: 1, 37: 1, 2: 1, 39: 1, 25: 1}","[541, 1813, 3030, 2946, 4720]",5091,5,4,False
