,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2134,datetime query,datetime query,13,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2134,20,7,False,20
1520,datetime query,datetime query,13,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1520,20,7,False,20
1378,calendar set,calendar,9,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1378,20,7,False,20
1169,general repeat,audio volume m,4,False,False,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1169,20,7,False,20
214,general negate,general neg,25,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",214,20,7,False,20
612,play music,play,48,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",612,20,7,False,20
2258,general negate,general neg,25,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2258,20,7,False,20
1438,calendar set,calendar,9,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1438,20,7,False,20
1248,general negate,qa currency,51,False,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1248,20,7,False,20
1970,alarm query,alarm query,0,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1970,20,7,False,20
1948,general affirm,general aff,18,False,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1948,20,7,False,20
2047,email add contact,email s,17,False,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2047,20,7,False,20
235,iot cleaning,iot clean,29,False,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",235,20,7,False,20
1461,music likeness,music li,42,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1461,20,7,False,20
46,email add contact,email s,17,False,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",46,20,7,False,20
1819,iot coffee,iot hue light up,35,False,False,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1819,20,7,False,20
486,iot coffee,iot coffee,30,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",486,20,7,False,20
2523,general affirm,general aff,18,False,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2523,20,7,False,20
948,general negate,takeaway order,61,True,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",948,20,7,False,20
243,social query,social,60,False,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",243,20,7,False,20
2453,calendar set,calendar,9,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2453,20,7,False,20
1636,iot coffee,iot coffee,30,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1636,20,7,False,20
1869,qa currency,qa currency,51,False,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1869,20,7,False,20
2496,iot coffee,iot coffee,30,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2496,20,7,False,20
1761,calendar set,alarm query,0,True,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1761,20,7,False,20
1613,music likeness,music dis,41,False,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1613,20,7,False,20
2457,email add contact,email s,17,False,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2457,20,7,False,20
1002,general negate,iot hue light dim,32,False,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1002,20,7,False,20
2164,qa stock,qa stock,55,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2164,20,7,False,20
1792,takeaway order,takeaway order,61,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1792,20,7,False,20
266,calendar set,calendar,9,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",266,20,7,False,20
2477,calendar set,calendar,9,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2477,20,7,False,20
2305,general repeat,general repeat,28,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2305,20,7,False,20
938,general negate,general neg,25,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",938,20,7,False,20
2061,calendar set,calendar,9,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2061,20,7,False,20
792,music likeness,play,48,True,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",792,20,7,False,20
933,music likeness,audio volume m,4,False,False,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",933,20,7,False,20
2458,calendar set,calendar,9,True,True,False,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",2458,20,7,False,20
1886,datetime query,datetime query,13,True,True,True,"{48: 3, 25: 3, 55: 1, 42: 2, 28: 1, 10: 1, 9: 3, 61: 1, 65: 2, 0: 1, 30: 1, 13: 1}","[1629, 3959, 2841, 2105, 7034, 3187, 2398, 5953, 2182, 7728, 7500, 2139, 300, 4236, 4780, 2089, 3895, 3316, 4821, 3874]",1886,20,7,False,20
