,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
1104,transfer timing,receiving,50,False,False,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",1104,20,7,False
472,get physical card,get physical,38,True,True,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",472,20,7,False
1453,card about to expire,card about,9,True,True,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",1453,20,7,False
836,transfer timing,pending transfer,48,False,False,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",836,20,7,False
939,transaction charged twice,transaction,63,True,True,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",939,20,7,False
706,request refund,request,52,False,True,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",706,20,7,False
381,unable to verify identity,why,74,False,False,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",381,20,7,False
1078,cancel transfer,re,53,False,False,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",1078,20,7,False
451,get physical card,get physical,38,True,True,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",451,20,7,False
1467,card about to expire,card about,9,True,True,False,"{9: 2, 28: 1, 63: 3, 35: 1, 57: 2, 27: 2, 37: 1, 31: 1, 16: 2, 75: 1, 68: 1, 38: 1, 33: 2}","[925, 4696, 2559, 2515, 454, 2180, 1935, 2409, 1081, 1345, 2876, 2566, 682, 1834, 2484, 4132, 4613, 4807, 1032, 53]",1467,20,7,False
