,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
12948,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",12948,10,0,False
186,person age,person age,person age,False,True,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",186,10,0,False
7675,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",7675,10,0,False
12851,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",12851,10,0,False
12672,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",12672,10,0,False
8801,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",8801,10,0,False
9109,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",9109,10,0,False
6626,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6626,10,0,False
6986,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6986,10,0,False
10809,organization city of headquarters,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",10809,10,0,False
8743,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",8743,10,0,False
7015,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",7015,10,0,False
6534,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6534,10,0,False
15099,na,organization country,organization country of headquarters,False,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",15099,10,0,False
1784,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",1784,10,0,False
2675,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",2675,10,0,False
590,na,person countries,person countries of residence,False,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",590,10,0,False
9253,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",9253,10,0,False
13398,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",13398,10,0,False
7279,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",7279,10,0,False
8839,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",8839,10,0,False
5483,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",5483,10,0,False
7806,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",7806,10,0,False
6757,organization founded in year,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6757,10,0,False
6976,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6976,10,0,False
2308,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",2308,10,0,False
14581,person title,person title,person title,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",14581,10,0,False
6442,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6442,10,0,False
3088,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",3088,10,0,False
4642,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",4642,10,0,False
615,na,person countries,person countries of residence,False,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",615,10,0,False
2493,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",2493,10,0,False
15021,na,person title,person title,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",15021,10,0,False
2373,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",2373,10,0,False
6504,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6504,10,0,False
5920,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",5920,10,0,False
4948,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",4948,10,0,False
8614,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",8614,10,0,False
10584,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",10584,10,0,False
8336,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",8336,10,0,False
14030,organization member of,organization members,organization members,False,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",14030,10,0,False
10737,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",10737,10,0,False
9336,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",9336,10,0,False
3225,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",3225,10,0,False
13668,organization member of,organization top,organization top members or employees,False,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",13668,10,0,False
7373,organization website,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",7373,10,0,False
8344,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",8344,10,0,False
5399,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",5399,10,0,False
3807,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",3807,10,0,False
5217,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",5217,10,0,False
3238,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",3238,10,0,False
7320,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",7320,10,0,False
5139,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",5139,10,0,False
11338,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",11338,10,0,False
14674,na,person title,person title,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",14674,10,0,False
3240,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",3240,10,0,False
10796,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",10796,10,0,False
14976,person title,person title,person title,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",14976,10,0,False
4031,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",4031,10,0,False
10686,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",10686,10,0,False
11772,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",11772,10,0,False
11681,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",11681,10,0,False
1566,person religion,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",1566,10,0,False
6451,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6451,10,0,False
9680,person title,na,na,True,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",9680,10,0,False
12777,organization member of,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",12777,10,0,False
13784,person title,organization top,organization top members or employees,False,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",13784,10,0,False
8549,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",8549,10,0,False
5158,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",5158,10,0,False
3576,na,na,na,True,True,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",3576,10,0,False
6245,organization website,na,na,True,False,False,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",6245,10,0,False
13567,na,person country of death,person country of death,False,False,True,"{'na': 9, 'person title': 1}","[46042, 48973, 51005, 9726, 49734, 40119, 41482, 51407, 63017, 19383]",13567,10,0,False
