,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
360,entity,description,2,True,False,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",360,150,7,False,75
17,human,human,3,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",17,150,7,False,75
361,description,description,2,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",361,150,7,False,75
411,entity,entity,1,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",411,150,7,False,75
67,description,description,2,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",67,150,7,False,75
425,location,entity,1,True,False,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",425,150,7,False,75
104,location,location,4,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",104,150,7,False,75
394,description,description,2,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",394,150,7,False,75
450,entity,entity,1,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",450,150,7,False,75
141,entity,entity,1,True,True,True,"{4: 23, 1: 37, 2: 36, 3: 24, 5: 29, 0: 1}","[1317, 5165, 4677, 2253, 1869, 640, 1704, 2890, 1576, 5390, 797, 192, 4946, 270, 924, 3898, 4762, 5099, 1005, 1665, 1137, 1058, 1173, 4825, 3145, 933, 1809, 3104, 4888, 70, 4228, 4504, 2501, 3597, 1439, 4994, 3695, 4258, 2305, 5256, 4189, 2886, 1929, 5400, 4571, 1522, 1744, 1202, 5332, 129, 2543, 4095, 3410, 3105, 4720, 1956, 200, 2994, 4057, 625, 3140, 2547, 1205, 2101, 2699, 989, 3958, 4528, 3338, 831, 2373, 2832, 4769, 1977, 5295, 2578, 3735, 4246, 1047, 4737, 3749, 2385, 2176, 4242, 985, 102, 3544, 548, 4225, 5259, 3243, 2900, 5050, 810, 1738, 2164, 414, 4802, 1781, 1553, 3039, 3271, 2818, 1364, 3995, 2918, 4297, 3481, 2429, 5293, 1347, 4098, 1628, 2562, 193, 2512, 5300, 3775, 525, 3683, 3897, 655, 2499, 1817, 1734, 4473, 1650, 3171, 4431, 2989, 1701, 4263, 2978, 3163, 3404, 3103, 3357, 3376, 5247, 878, 1313, 1334, 2269, 5330, 4939, 2252, 4107, 3515, 4872, 4467]",141,150,7,False,75
