,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
3430,weather query,news,45,False,False,False,{43: 1},[19088],3430,1,2,False
2596,music query,music li,42,False,False,True,{43: 1},[19088],2596,1,2,False
3083,calendar query,transport traffic,66,False,False,False,{43: 1},[19088],3083,1,2,False
4420,social query,social post,59,False,False,False,{43: 1},[19088],4420,1,2,False
5418,calendar query,calendar set,9,False,False,False,{43: 1},[19088],5418,1,2,False
4839,news query,qa stock,55,False,False,False,{43: 1},[19088],4839,1,2,False
4527,iot wemo off,iot wemo off,36,False,True,False,{43: 1},[19088],4527,1,2,False
3327,recommendation events,general qu,27,False,False,False,{43: 1},[19088],3327,1,2,False
6345,music query,general neg,25,False,False,True,{43: 1},[19088],6345,1,2,False
5766,play music,play music,48,False,True,False,{43: 1},[19088],5766,1,2,False
5532,play game,general qu,27,False,False,False,{43: 1},[19088],5532,1,2,False
3311,alarm query,calendar set,9,False,False,False,{43: 1},[19088],3311,1,2,False
2917,weather query,transport traffic,66,False,False,False,{43: 1},[19088],2917,1,2,False
3270,social post,social post,59,False,True,False,{43: 1},[19088],3270,1,2,False
5593,play podcasts,play podcast,49,False,True,False,{43: 1},[19088],5593,1,2,False
5196,weather query,qa stock,55,False,False,False,{43: 1},[19088],5196,1,2,False
2816,calendar query,calendar remove,8,False,False,False,{43: 1},[19088],2816,1,2,False
726,calendar query,calendar set,9,False,False,False,{43: 1},[19088],726,1,2,False
794,transport query,transport ticket,65,False,False,False,{43: 1},[19088],794,1,2,False
252,email query,email query,15,False,True,False,{43: 1},[19088],252,1,2,False
3233,music query,play music,48,False,False,True,{43: 1},[19088],3233,1,2,False
4902,calendar remove,calendar remove,8,False,True,False,{43: 1},[19088],4902,1,2,False
3192,music query,general dont,21,False,False,True,{43: 1},[19088],3192,1,2,False
1358,calendar query,news,45,False,False,False,{43: 1},[19088],1358,1,2,False
2380,weather query,weather,67,False,True,False,{43: 1},[19088],2380,1,2,False
4250,email query,email query,15,False,True,False,{43: 1},[19088],4250,1,2,False
2930,transport query,transport ticket,65,False,False,False,{43: 1},[19088],2930,1,2,False
4936,social query,social query,60,False,True,False,{43: 1},[19088],4936,1,2,False
3186,transport query,transport query,63,False,True,False,{43: 1},[19088],3186,1,2,False
1490,general command stop,takeaway order,61,False,False,False,{43: 1},[19088],1490,1,2,False
5978,weather query,qa fact,53,False,False,False,{43: 1},[19088],5978,1,2,False
4580,music query,general praise,26,False,False,True,{43: 1},[19088],4580,1,2,False
5668,news query,news,45,False,True,False,{43: 1},[19088],5668,1,2,False
6215,transport query,transport query,63,False,True,False,{43: 1},[19088],6215,1,2,False
4804,play music,play music,48,False,True,False,{43: 1},[19088],4804,1,2,False
2922,play game,play game,47,False,True,False,{43: 1},[19088],2922,1,2,False
1242,music query,general praise,26,False,False,True,{43: 1},[19088],1242,1,2,False
3753,music query,play music,48,False,False,True,{43: 1},[19088],3753,1,2,False
713,weather query,qa fact,53,False,False,False,{43: 1},[19088],713,1,2,False
3041,recommendation events,recommendation locations,57,False,False,False,{43: 1},[19088],3041,1,2,False
1218,music query,general explain,22,False,False,True,{43: 1},[19088],1218,1,2,False
2974,music query,play radio,50,False,False,True,{43: 1},[19088],2974,1,2,False
5934,music query,music query,43,True,True,True,{43: 1},[19088],5934,1,2,False
5923,general command stop,qa fact,53,False,False,False,{43: 1},[19088],5923,1,2,False
776,music query,general praise,26,False,False,True,{43: 1},[19088],776,1,2,False
239,music query,general praise,26,False,False,True,{43: 1},[19088],239,1,2,False
3604,general command stop,general qu,27,False,False,False,{43: 1},[19088],3604,1,2,False
947,weather query,transport traffic,66,False,False,False,{43: 1},[19088],947,1,2,False
768,play music,general joke,24,False,False,False,{43: 1},[19088],768,1,2,False
859,general command stop,qa math,54,False,False,False,{43: 1},[19088],859,1,2,False
1816,play music,play podcast,49,False,False,False,{43: 1},[19088],1816,1,2,False
1314,weather query,qa currency,51,False,False,False,{43: 1},[19088],1314,1,2,False
1334,music query,play radio,50,False,False,True,{43: 1},[19088],1334,1,2,False
3135,music query,play podcast,49,False,False,True,{43: 1},[19088],3135,1,2,False
3639,music query,lists remove,40,False,False,True,{43: 1},[19088],3639,1,2,False
5882,datetime query,datetime query,13,False,True,False,{43: 1},[19088],5882,1,2,False
1240,iot coffee,iot coffee,30,False,True,False,{43: 1},[19088],1240,1,2,False
5690,news query,news,45,False,True,False,{43: 1},[19088],5690,1,2,False
1733,general command stop,general qu,27,False,False,False,{43: 1},[19088],1733,1,2,False
4663,iot wemo on,iot hue light off,33,False,False,False,{43: 1},[19088],4663,1,2,False
2485,music query,music query,43,True,True,True,{43: 1},[19088],2485,1,2,False
1977,music query,play radio,50,False,False,True,{43: 1},[19088],1977,1,2,False
605,alarm query,alarm remove,1,False,False,False,{43: 1},[19088],605,1,2,False
2931,music query,general dont,21,False,False,True,{43: 1},[19088],2931,1,2,False
4487,email query,email query,15,False,True,False,{43: 1},[19088],4487,1,2,False
372,email query,email send,17,False,False,False,{43: 1},[19088],372,1,2,False
2743,news query,news,45,False,True,False,{43: 1},[19088],2743,1,2,False
4846,news query,news,45,False,True,False,{43: 1},[19088],4846,1,2,False
5385,iot cleaning,general explain,22,False,False,False,{43: 1},[19088],5385,1,2,False
6415,calendar query,calendar remove,8,False,False,False,{43: 1},[19088],6415,1,2,False
6243,music query,play podcast,49,False,False,True,{43: 1},[19088],6243,1,2,False
3726,calendar query,calendar remove,8,False,False,False,{43: 1},[19088],3726,1,2,False
1620,alarm query,alarm query,0,False,True,False,{43: 1},[19088],1620,1,2,False
4940,general greet,play radio,50,False,False,False,{43: 1},[19088],4940,1,2,False
