,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
390,music query,play music,48,False,False,False,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",390,10,5,False
1713,general affirm,lists,38,False,False,True,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",1713,10,5,False
2719,general repeat,general repeat,28,True,True,True,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",2719,10,5,False
2326,music query,play aud,46,False,False,False,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",2326,10,5,False
1702,general explain,iot hue light off,33,False,False,True,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",1702,10,5,False
2350,general explain,general explain,22,True,True,True,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",2350,10,5,False
507,calendar set,calendar set,9,True,True,True,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",507,10,5,False
2994,calendar remove,calendar remove,8,False,True,False,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",2994,10,5,False
1937,transport query,take,61,False,False,False,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",1937,10,5,False
1669,general repeat,general repeat,28,True,True,True,"{9: 3, 11: 1, 60: 1, 63: 1, 22: 2, 28: 1, 18: 1}","[6257, 5247, 5763, 7755, 4649, 873, 7938, 744, 2723, 3952]",1669,10,5,False
