,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
905,card about to expire,supported,54,False,False,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",905,100,6,False
1982,transaction charged twice,transaction,63,True,True,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",1982,100,6,False
2766,exchange charge,exchange charge,31,True,True,True,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",2766,100,6,False
2416,getting spare card,getting spare,39,True,True,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",2416,100,6,False
2895,cash withdrawal not recognised,cash withdrawal charge,19,False,False,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",2895,100,6,False
2137,pin blocked,change,21,False,False,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",2137,100,6,False
732,top up by card charge,top up limits,60,False,False,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",732,100,6,False
1927,card not working,card swallowed,18,False,False,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",1927,100,6,False
945,get physical card,getting virtual,40,False,False,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",945,100,6,False
1942,card not working,card swallowed,18,False,False,False,"{4: 3, 5: 1, 63: 2, 14: 3, 35: 3, 59: 4, 66: 3, 67: 1, 64: 2, 20: 2, 32: 1, 24: 1, 55: 2, 25: 1, 29: 3, 34: 4, 11: 2, 0: 2, 52: 1, 16: 1, 33: 2, 75: 1, 22: 1, 39: 2, 7: 1, 17: 4, 8: 2, 9: 1, 27: 1, 28: 2, 70: 2, 41: 1, 23: 1, 36: 2, 10: 1, 61: 3, 47: 2, 72: 1, 49: 1, 45: 3, 71: 3, 68: 2, 53: 1, 38: 2, 26: 1, 74: 2, 51: 1, 15: 2, 50: 1, 48: 1, 31: 1, 76: 1, 57: 1, 43: 2, 46: 1, 73: 1, 6: 1}","[1049, 2526, 7198, 713, 9141, 6128, 17, 3624, 1937, 3724, 5269, 8857, 7646, 1473, 4965, 4573, 4212, 9703, 4011, 8712, 5861, 9279, 4153, 3579, 1969, 4731, 8937, 6066, 6898, 5772, 6420, 194, 8337, 3120, 1472, 6648, 9774, 7758, 7075, 5600, 9888, 984, 7450, 8677, 9670, 634, 1189, 2058, 5005, 4217, 840, 2283, 3865, 4302, 9226, 8322, 500, 5896, 212, 4304, 9483, 7934, 2219, 7888, 5112, 4219, 3013, 7504, 2011, 359, 5356, 5657, 757, 4409, 3348, 2340, 9295, 4344, 8130, 3110, 4315, 2185, 341, 2907, 3157, 4097, 9248, 2864, 1193, 6626, 5519, 4185, 2066, 4000, 7868, 3609, 2730, 3695, 8713, 5451]",1942,100,6,False
